# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
9.650000000000000355e+00 8.874574664402055946e-02 8.245328745502043463e-03 2.487029711989710763e-04
9.699999999999999289e+00 8.827539755067369265e-02 8.245954038094215066e-03 2.353138505713217783e-04
9.750000000000000000e+00 8.780463913635679074e-02 8.242036362939384603e-03 2.222892776844392166e-04
9.800000000000000711e+00 8.733370553578836959e-02 8.233129183903110243e-03 2.113403535460926493e-04
9.849999999999999645e+00 8.685965814106261229e-02 8.218799018646078328e-03 2.040100686535325049e-04
9.900000000000000355e+00 8.637704396785710059e-02 8.201933358696310294e-03 1.995878541038146226e-04
9.949999999999999289e+00 8.589095859836223812e-02 8.190597694933772835e-03 1.973970167056907392e-04
1.000000000000000000e+01 8.540838155107480234e-02 8.186529859833700448e-03 1.963402821648739115e-04
1.005000000000000071e+01 8.493568472107637657e-02 8.189822227014271344e-03 1.971487598766454290e-04
1.009999999999999964e+01 8.447602149920822867e-02 8.199216429056252822e-03 1.981421393800393853e-04
1.015000000000000036e+01 8.403054621389684231e-02 8.212408130741873091e-03 1.973072169996506432e-04
1.019999999999999929e+01 8.359548875251472666e-02 8.223214596946420638e-03 1.953094593166868271e-04
1.025000000000000000e+01 8.316427559936433178e-02 8.225191197989520364e-03 1.936185455000222439e-04
1.030000000000000071e+01 8.273997202470410872e-02 8.222715987344468569e-03 1.911124363375031122e-04
1.034999999999999964e+01 8.232751978496692657e-02 8.217636731857085736e-03 1.891380788298214588e-04
1.040000000000000036e+01 8.192524343930031316e-02 8.208141473783564859e-03 1.886804435845509703e-04
1.044999999999999929e+01 8.153026966190556057e-02 8.194838352545745497e-03 1.891453466055048149e-04
1.050000000000000000e+01 8.113625490591429290e-02 8.181323802916688759e-03 1.896732874402815494e-04
1.055000000000000071e+01 8.073668394633411183e-02 8.172018024816967569e-03 1.894741927197226899e-04
1.059999999999999964e+01 8.032799118926876869e-02 8.169913291249813331e-03 1.882769570038417305e-04
1.065000000000000036e+01 7.990343966752525007e-02 8.175084223801937916e-03 1.857541021871901576e-04
1.069999999999999929e+01 7.945826691586709012e-02 8.186205897104410073e-03 1.811272353439652655e-04
1.075000000000000000e+01 7.899115614341682690e-02 8.202141852115887866e-03 1.754818899935082078e-04
1.080000000000000071e+01 7.850652113967183932e-02 8.223093416074933951e-03 1.708056162816300866e-04
1.084999999999999964e+01 7.800990395045964698e-02 8.248341972271165667e-03 1.694103047882582365e-04
1.090000000000000036e+01 7.750139847687891048e-02 8.276119855929938221e-03 1.702571948561297326e-04
1.094999999999999929e+01 7.697861633720644303e-02 8.305320237776364287e-03 1.706006054053159392e-04
1.100000000000000000e+01 7.644341456527321832e-02 8.335412173946687292e-03 1.693518721094061880e-04
1.105000000000000071e+01 7.590227261410389947e-02 8.366076347695684812e-03 1.686546483701922405e-04
1.109999999999999964e+01 7.536334071132456958e-02 8.397113114615018317e-03 1.688210325611492406e-04
1.115000000000000036e+01 7.483086973094668637e-02 8.428020278359656114e-03 1.677345359204847786e-04
1.119999999999999929e+01 7.430722664828288970e-02 8.459951059549674496e-03 1.633705534473913260e-04
1.125000000000000000e+01 7.379360749176470946e-02 8.492255798677563958e-03 1.566995802336975405e-04
1.130000000000000071e+01 7.328962954260888341e-02 8.522142650974994307e-03 1.496086135424661218e-04
1.134999999999999964e+01 7.279547079206312443e-02 8.547595147403042742e-03 1.436588137224399197e-04
1.140000000000000036e+01 7.231119351351295022e-02 8.569172884355472433e-03 1.404666937116484616e-04
1.144999999999999929e+01 7.183394832015803366e-02 8.587483224623307723e-03 1.395781463222356162e-04
1.150000000000000000e+01 7.136123572807953619e-02 8.601840620128215625e-03 1.392664507580755097e-04
1.155000000000000071e+01 7.089248527644922970e-02 8.610996091021042367e-03 1.386070913635878746e-04
1.159999999999999964e+01 7.042892667086678160e-02 8.614004852720786101e-03 1.379214617660167233e-04
1.165000000000000036e+01 6.997182325299000638e-02 8.609979078986198034e-03 1.380625075354267926e-04
1.169999999999999929e+01 6.952218378972363499e-02 8.598961314807612721e-03 1.397850059867198995e-04
1.175000000000000000e+01 6.907969319803322628e-02 8.582176080626051362e-03 1.432027885827324954e-04
1.180000000000000071e+01 6.864044323820174542e-02 8.561151582338727070e-03 1.459061201775242722e-04
1.184999999999999964e+01 6.820238992573361692e-02 8.538838049288687698e-03 1.459035774950149047e-04
1.190000000000000036e+01 6.776545851399608245e-02 8.515948373645608124e-03 1.440595438548088550e-04
1.194999999999999929e+01 6.733177017334331105e-02 8.493634620645023128e-03 1.415659081923350475e-04
1.200000000000000000e+01 6.690125049115819289e-02 8.472901560246465236e-03 1.390484105973175267e-04
1.205000000000000071e+01 6.647223205373055388e-02 8.453908219006225910e-03 1.367679356798047550e-04
1.209999999999999964e+01 6.604196396115764867e-02 8.435205083081492514e-03 1.344079840827033356e-04
1.215000000000000036e+01 6.560741700171614232e-02 8.413777747372192667e-03 1.317752923466280980e-04
1.219999999999999929e+01 6.516988742745169483e-02 8.388619091625668794e-03 1.298615734192672512e-04
1.225000000000000000e+01 6.473010792319544571e-02 8.359042396587202869e-03 1.294677979916871325e-04
1.230000000000000071e+01 6.428660098520208588e-02 8.325068279295088497e-03 1.300121104484507203e-04
1.234999999999999964e+01 6.383597219970484071e-02 8.286443009040096036e-03 1.299785006717190034e-04
1.240000000000000036e+01 6.337664956736871469e-02 8.242925455861081427e-03 1.287529740515669331e-04
1.244999999999999929e+01 6.291030249549037223e-02 8.194827926921633213e-03 1.266793699566079218e-04
1.250000000000000000e+01 6.244070525145180989e-02 8.142362003969583553e-03 1.243645707844463094e-04
1.255000000000000071e+01 6.197102934714949357e-02 8.085948950437613081e-03 1.222672213071697336e-04
1.259999999999999964e+01 6.150373713072170012e-02 8.025718061661047190e-03 1.206520614901169630e-04
1.265000000000000036e+01 6.103924814866532045e-02 7.962025314866788203e-03 1.195663032322388114e-04
1.269999999999999929e+01 6.057568449535737781e-02 7.895410151135914822e-03 1.184366666164719860e-04
1.275000000000000000e+01 6.011132697307957490e-02 7.826223570214639602e-03 1.165370671677814135e-04
1.280000000000000071e+01 5.964595979050545116e-02 7.754204100324044863e-03 1.144998629786248017e-04
1.284999999999999964e+01 5.917949711236556581e-02 7.678936285819477382e-03 1.131734667780272095e-04
1.290000000000000036e+01 5.871103684853047622e-02 7.601234165977397740e-03 1.124849303796323334e-04
1.294999999999999929e+01 5.823832944556666530e-02 7.522242156416908236e-03 1.119332922162028280e-04
1.300000000000000000e+01 5.775934112949420579e-02 7.442615379926144879e-03 1.111079746600636273e-04
1.305000000000000071e+01 5.727359941359164847e-02 7.362448476862237801e-03 1.102267106349905210e-04
1.309999999999999964e+01 5.678278895821325944e-02 7.281844724183983604e-03 1.094709674355077826e-04
1.315000000000000036e+01 5.628961577574427555e-02 7.200812235237075490e-03 1.086976668963784997e-04
1.319999999999999929e+01 5.579778478626492427e-02 7.119392849211400413e-03 1.078615694711383932e-04
1.325000000000000000e+01 5.531087751537095559e-02 7.037723007222179521e-03 1.068360782611611201e-04
1.330000000000000071e+01 5.483156583368839487e-02 6.956096433099094069e-03 1.054948764228931112e-04
1.334999999999999964e+01 5.436244703535848127e-02 6.874983322615485851e-03 1.039721334634908828e-04
1.340000000000000036e+01 5.390676480223589861e-02 6.795120370187477006e-03 1.027240506989265440e-04
1.344999999999999929e+01 5.346732174975067642e-02 6.717327864559462583e-03 1.024284834451947543e-04
1.350000000000000000e+01 5.304451570963456680e-02 6.642053983286190511e-03 1.030211065489631221e-04
1.355000000000000071e+01 5.263645448323736598e-02 6.569520174511106654e-03 1.032304264850304368e-04
1.359999999999999964e+01 5.224166316940268007e-02 6.499855549172612462e-03 1.020936395871073428e-04
1.365000000000000036e+01 5.186186612703825444e-02 6.433137386685131194e-03 9.989683512488831769e-05
1.369999999999999929e+01 5.150072545529624929e-02 6.369484466147348062e-03 9.732640474041226984e-05
1.375000000000000000e+01 5.116217359276355875e-02 6.308974318062205225e-03 9.503674939989855742e-05
1.380000000000000071e+01 5.084751677456311042e-02 6.251024346923777890e-03 9.375314594211898046e-05
1.384999999999999964e+01 5.055473763168221585e-02 6.195008874891461473e-03 9.396264043465306966e-05
1.390000000000000036e+01 5.027849481805592158e-02 6.140706913221534100e-03 9.511785053759799758e-05
1.394999999999999929e+01 5.001268325341029497e-02 6.087997702302722428e-03 9.606165796042387016e-05
1.400000000000000000e+01 4.975363568503597678e-02 6.037109185477103866e-03 9.621945544342624002e-05
1.405000000000000071e+01 4.950063642119544027e-02 5.987821844801062381e-03 9.620610138722269383e-05
1.409999999999999964e+01 4.925434861276680593e-02 5.940104167894108209e-03 9.668393180670296005e-05
1.415000000000000036e+01 4.901423803479597330e-02 5.893941626324344582e-03 9.771851657810069129e-05
1.419999999999999929e+01 4.877787717564378844e-02 5.849471959913799674e-03 9.905807893364476234e-05
1.425000000000000000e+01 4.854153747833464538e-02 5.806738415248028327e-03 1.003670499030755105e-04
1.430000000000000071e+01 4.830135351440511399e-02 5.765722380516399674e-03 1.011536738361489462e-04
